"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"2660","01986","彩客化学","1.570","-0.060","-3.68%","0.00%","23.62%","9.79%","1.560","1.570","2.00万","5.85万","141.40万","222.68万","14.080%","6.433%","1.660","1.630","1.660","1.550","0.14","0.00","6.75","6.061","2.859","0.828","0.33","-33.80%","16.22亿","16.22亿","10.33亿","10.33亿","-3.68%","15.44%","18.05%","25.00%","-0.63%","特殊化工用品"
"2661","01611","火币科技","14.640","-0.560","-3.68%","1.95%","357.50%","136.51%","14.600","14.640","2.20万","4000","672.03万","9632.05万","0.000%","0.000%","15.780","15.200","15.880","13.700","2.19","0.41","14.34","亏损","亏损","34.691","0.92","-45.83%","44.97亿","44.97亿","3.07亿","3.07亿","79.41%","96.51%","51.55%","211.49%","260.59%","工业零件及器材"
"2662","01196","伟禄集团","6.000","-0.230","-3.69%","0.17%","11.94%","34.23%","5.960","6.020","2000","2000","178.40万","1081.77万","0.000%","0.000%","6.220","6.230","6.290","5.900","0.12","0.00","6.26","亏损","亏损","3.754","0.49","22.86%","86.29亿","86.29亿","14.38亿","14.38亿","6.01%","12.36%","22.20%","36.99%","25.52%","环保工程"
"2663","01272","大唐环境","0.780","-0.030","-3.70%","0.00%","-2.50%","-3.70%","0.780","0.820","20.00万","1000","3.70万","2.79万","4.740%","4.743%","0.770","0.810","0.770","0.750","0.01","0.00","2.47","11.818","9.629","0.295","3.56","90.64%","23.15亿","4.87亿","29.68亿","6.24亿","-13.33%","-16.13%","4.00%","0.00%","-46.68%","环保工程"
"2664","00105","凯联国际酒店","13.000","-0.500","-3.70%","0.00%","-1.14%","-5.11%","13.000","15.400","2000","2000","2000","2.60万","3.850%","6.230%","13.000","13.500","13.000","13.000","0.00","0.00","0.00","亏损","亏损","0.404","0.56","33.33%","46.80亿","46.80亿","3.6亿","3.6亿","-6.07%","-5.66%","-5.11%","1.56%","-29.73%","地产投资"
"2665","00726","筑友智造科技","1.300","-0.050","-3.70%","-0.76%","30.00%","35.42%","1.300","1.320","14.00万","1.00万","251.50万","329.95万","0.000%","0.000%","1.350","1.350","1.350","1.280","0.09","0.00","5.19","27.659","32.500","2.034","0.75","-10.16%","36.43亿","36.43亿","28.02亿","28.02亿","10.17%","21.50%","39.78%","31.58%","124.14%","地产发展商"
"2666","00613","梧桐国际","1.040","-0.040","-3.70%","0.00%","7.22%","4.00%","1.040","1.050","2000","6000","3.80万","3.93万","0.190%","0.000%","1.040","1.080","1.040","1.020","0.00","-0.97","1.85","亏损","43.333","0.605","1.08","51.81%","9.77亿","9.77亿","9.4亿","9.4亿","-7.14%","6.12%","-2.80%","-27.27%","4.00%","投资及资产管理"
"2667","00544","大同集团","0.026","-0.001","-3.70%","0.00%","4.00%","13.04%","0.024","0.027","126.00万","70.00万","152.00万","3.82万","0.000%","0.000%","0.024","0.027","0.026","0.024","0.05","0.00","7.41","亏损","亏损","0.866","2.47","48.09%","7542.87万","7542.87万","29.01亿","29.01亿","4.00%","8.33%","4.00%","0.00%","-10.34%","航空货运及物流"
"2668","01121","宝峰时尚","4.120","-0.160","-3.74%","0.24%","724.00%","421.52%","4.120","4.150","18.80万","4000","1123.60万","4630.77万","0.000%","0.000%","4.400","4.280","4.570","3.900","0.76","-0.49","15.65","亏损","亏损","142.068","0.83","-5.54%","61.26亿","61.26亿","14.87亿","14.87亿","42.56%","76.07%","480.28%","1013.51%","740.82%","鞋类"
"2669","00821","汇盈控股","0.385","-0.015","-3.75%","0.00%","-2.53%","30.51%","0.385","0.390","6.00万","15.20万","928.00万","356.17万","0.000%","0.000%","0.390","0.400","0.395","0.370","0.54","-2.53","6.25","亏损","亏损","0.899","1.22","-71.24%","6.56亿","6.56亿","17.05亿","17.05亿","-7.23%","6.94%","35.09%","-11.49%","28.33%","证券及经纪"
