"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"74","03680","索信达控股","8.400","+1.000","13.51%","0.00%","110.00%","47.11%","8.350","8.450","2000","1.20万","358.60万","2845.00万","0.000%","0.000%","7.300","7.400","8.500","7.030","0.89","1.19","19.87","亏损","763.636","14.659","1.21","-34.43%","33.78亿","33.78亿","4.02亿","4.02亿","-0.24%","29.23%","59.70%","326.40%","354.05%","系统开发及资讯科技顾问"
"75","00079","世纪建业","0.160","+0.019","13.48%","0.00%","-38.46%","2.56%","0.160","0.182","1.60万","4000","5.70万","9280","0.000%","0.000%","0.160","0.141","0.182","0.160","0.02","0.00","15.60","亏损","亏损","0.164","14.84","60.00%","5217.24万","5217.24万","3.26亿","3.26亿","14.29%","8.11%","6.67%","1.91%","-25.23%","其他支援服务"
"76","00136","恒腾网络(新)","9.300","+1.100","13.41%","0.54%","200.00%","250.94%","9.290","9.300","2.80万","36.80万","1.07亿","9.96亿","0.000%","0.000%","8.400","8.200","9.560","8.400","1.16","0.43","14.15","1860.000","845.454","65.957","0.60","-11.29%","858.82亿","858.82亿","92.35亿","92.35亿","113.79%","180.12%","281.15%","272.00%","839.39%","电子商贸及互联网服务"
"77","08176","超人智能","0.930","+0.110","13.41%","0.00%","0.00%","3.33%","0.720","0.930","1.00万","2.00万","2.09万","1.90万","0.000%","0.000%","0.890","0.820","0.930","0.890","0.00","0.00","4.88","亏损","亏损","-","9.95","-33.33%","4.71亿","4.71亿","5.06亿","5.06亿","16.25%","29.17%","13.41%","-6.06%","-60.09%","医疗及医学美容服务"
"78","02330","中国上城","0.680","+0.080","13.33%","0.00%","-2.86%","-1.45%","0.680","0.850","8000","2.80万","4.32万","2.91万","0.000%","0.000%","0.630","0.600","0.850","0.630","0.02","0.00","36.67","13.076","2.131","0.243","1.91","78.72%","1.73亿","1.73亿","2.54亿","2.54亿","33.33%","23.64%","9.68%","4.62%","-32.00%","地产发展商"
"79","02371","创联教育金融","0.034","+0.004","13.33%","0.00%","-2.86%","-19.05%","0.032","0.034","2.00万","16.80万","58.40万","1.89万","0.000%","0.000%","0.032","0.030","0.034","0.032","0.01","0.00","6.67","亏损","亏损","0.739","0.21","11.10%","2.03亿","2.03亿","59.62亿","59.62亿","13.33%","13.33%","9.68%","-12.82%","-20.93%","教育"
"80","06805","金茂源环保","0.940","+0.110","13.25%","0.00%","38.24%","4.44%","0.830","0.940","7.60万","6.80万","2000","1880","0.000%","0.000%","0.940","0.830","0.940","0.940","0.00","0.00","0.00","10.107","17.407","1.008","0.09","-18.00%","10.53亿","10.53亿","11.2亿","11.2亿","4.44%","9.30%","8.05%","49.21%","20.51%","环保工程"
"81","01024","快手-W","397.000","+46.400","13.23%","1.07%","0.00%","245.22%","396.800","397.000","2600","4700","2546.09万","97.47亿","0.000%","0.000%","366.800","350.600","398.000","365.000","0.61","-0.25","9.41","亏损","亏损","-","0.68","-81.36%","16510.96亿","16510.96亿","41.59亿","41.59亿","0.00%","0.00%","0.00%","0.00%","0.00%","软件开发"
"82","01849","秀商时代控股","0.560","+0.065","13.13%","1.82%","-15.15%","-20.00%","0.550","0.560","6.50万","1.50万","233.50万","117.86万","0.000%","0.000%","0.495","0.495","0.560","0.475","0.29","1.82","17.17","31.111","31.111","2.916","1.03","46.00%","4.48亿","4.48亿","8亿","8亿","-20.00%","-21.13%","-25.33%","-21.13%","152.25%","广告及宣传"
"83","01289","盛力达科技","1.140","+0.130","12.87%","0.00%","25.27%","35.71%","1.060","1.140","8000","6000","15.00万","16.43万","5.000%","0.000%","1.050","1.010","1.140","1.050","0.47","0.00","8.91","36.774","16.521","0.205","5.24","-77.86%","1.46亿","3648.00万","1.28亿","3200万","10.68%","12.87%","18.75%","18.75%","-1.72%","工业零件及器材"
"84","01207","上置集团","0.044","+0.005","12.82%","0.00%","25.71%","-15.38%","0.043","0.045","2000","69.80万","267.80万","11.76万","0.000%","0.000%","0.040","0.039","0.046","0.038","0.01","0.00","20.51","亏损","亏损","0.157","1.23","37.25%","9.05亿","9.05亿","205.65亿","205.65亿","12.82%","2.33%","-8.33%","51.72%","-8.33%","地产发展商"
"85","03638","华邦金融","0.194","+0.022","12.79%","0.00%","-17.09%","-1.02%","0.171","0.195","1.20万","14.40万","4.80万","8652","0.000%","0.000%","0.169","0.172","0.194","0.169","0.00","0.00","14.54","48.500","194.000","1.366","0.29","-69.23%","8.51亿","8.51亿","43.85亿","43.85亿","6.59%","-2.02%","-4.90%","-11.82%","-46.11%","电脑及周边器材"
"86","02101","福禄控股","9.160","+1.010","12.39%","0.77%","42.90%","44.94%","9.150","9.160","7500","5.60万","578.05万","5185.13万","0.000%","0.000%","8.250","8.150","9.160","8.250","1.45","0.11","11.17","32.367","40.175","9.913","5.66","-76.85%","36.64亿","36.64亿","4亿","4亿","14.36%","31.42%","29.20%","0.00%","0.00%","电子商贸及互联网服务"
"87","00362","信阳毛尖","0.410","+0.045","12.33%","0.00%","5.13%","15.49%","0.405","0.410","31.00万","128.00万","7615.36万","2929.58万","0.000%","0.000%","0.375","0.365","0.415","0.340","5.26","1.23","20.55","亏损","亏损","1.253","6.17","14.73%","5.94亿","5.94亿","14.48亿","14.48亿","28.13%","26.15%","26.15%","30.16%","-19.61%","特殊化工用品"
"88","08048","御德国际控股","0.046","+0.005","12.20%","0.00%","-4.17%","-2.13%","0.039","0.046","54.00万","155.40万","12.00万","5220","0.000%","0.000%","0.037","0.041","0.046","0.037","0.01","0.00","21.95","亏损","亏损","0.807","0.29","21.49%","8959.37万","8959.37万","19.48亿","19.48亿","21.05%","12.20%","-4.17%","-16.36%","-38.67%","系统开发及资讯科技顾问"
"89","01502","金融街物业","5.890","+0.640","12.19%","0.00%","-15.25%","-4.69%","5.750","5.890","1.00万","3000","139.00万","799.37万","0.000%","0.000%","5.230","5.250","5.940","5.230","1.34","-0.52","13.52","17.023","19.123","5.320","4.56","-85.42%","22.00亿","6.10亿","3.73亿","1.03亿","10.71%","9.28%","9.07%","-54.62%","0.00%","物业服务及管理"
"90","01463","C-LINK SQ","2.670","+0.290","12.18%","-2.55%","27.75%","64.81%","2.650","2.850","9.20万","4000","374.00万","987.44万","0.000%","0.000%","2.400","2.380","2.900","2.270","0.47","0.38","26.47","333.750","92.068","13.484","1.70","-16.33%","21.36亿","21.36亿","8亿","8亿","35.53%","60.84%","56.14%","151.89%","0.00%","其他支援服务"
"91","00223","易生活控股","0.065","+0.007","12.07%","0.00%","-8.45%","6.56%","0.063","0.066","486.00万","8.00万","510.00万","32.27万","0.000%","0.000%","0.058","0.058","0.067","0.058","0.17","0.00","15.52","亏损","亏损","1.666","2.10","59.34%","2.00亿","2.00亿","30.78亿","30.78亿","18.18%","16.07%","14.04%","-38.10%","-35.00%","电子商贸及互联网服务"
"92","00580","赛晶科技","3.810","+0.410","12.06%","0.53%","132.32%","79.72%","3.800","3.810","90.80万","2000","3558.20万","1.29亿","2.100%","2.099%","3.430","3.400","3.860","3.360","2.18","0.26","14.71","32.564","29.083","3.273","2.35","-14.64%","62.20亿","62.20亿","16.33亿","16.33亿","31.38%","31.38%","44.87%","103.74%","228.45%","工业零件及器材"
"93","01975","新兴印刷","0.930","+0.100","12.05%","0.00%","73.83%","55.00%","0.880","0.940","2.00万","3.20万","126.80万","111.19万","4.840%","4.838%","0.830","0.830","0.960","0.810","0.26","5.51","18.07","10.000","10.000","1.381","6.83","-23.46%","4.46亿","4.46亿","4.8亿","4.8亿","22.37%","22.37%","52.46%","204.92%","272.00%","印刷及包装"
"94","02196","复星医药","42.850","+4.600","12.03%","-0.23%","20.20%","15.65%","42.800","42.850","5.40万","2000","1809.42万","7.43亿","1.000%","1.003%","38.300","38.250","43.250","38.000","3.28","-0.35","13.73","26.565","30.049","2.880","4.10","0.87%","1098.20亿","236.51亿","25.63亿","5.52亿","13.96%","15.81%","22.25%","26.40%","90.70%","药品"
"95","01173","威高国际","0.056","+0.006","12.00%","0.00%","21.74%","-3.45%","0.052","0.056","4.00万","12.00万","26.00万","1.45万","1.790%","0.000%","0.055","0.050","0.056","0.055","0.01","0.00","2.00","亏损","亏损","0.528","0.59","10.67%","1.41亿","1.41亿","25.18亿","25.18亿","19.15%","5.66%","7.69%","14.29%","-27.27%","个人护理"
"96","00915","道和环球","0.075","+0.008","11.94%","0.00%","15.38%","22.95%","0.068","0.077","3.20万","19.00万","7000","531","0.000%","0.000%","0.087","0.067","0.087","0.080","0.00","2.60","10.45","亏损","亏损","2.343","0.07","-1.65%","1.13亿","1.13亿","15.1亿","15.1亿","0.00%","7.14%","20.97%","2.74%","-54.82%","采购及供应链管理"
"97","00641","中国恒天立信国际","0.470","+0.050","11.90%","0.00%","44.62%","16.05%","0.420","0.470","1.40万","3.00万","17.40万","7.70万","4.260%","4.255%","0.440","0.420","0.475","0.440","0.02","0.00","8.33","2.848","3.071","0.327","9.06","13.16%","5.17亿","5.17亿","11亿","11亿","3.30%","-3.09%","17.50%","23.68%","2.17%","工业零件及器材"
"98","01587","欣融国际","0.335","+0.035","11.67%","0.00%","15.52%","6.35%","0.300","0.335","4000","2.00万","4000","1340","0.000%","0.000%","0.335","0.300","0.335","0.335","0.00","0.00","0.00","8.375","6.836","0.650","0.14","-66.27%","2.28亿","2.28亿","6.8亿","6.8亿","3.08%","-1.47%","11.67%","4.69%","-30.21%","食品添加剂"
"99","03738","阜博集团","46.000","+4.800","11.65%","0.77%","286.55%","162.86%","45.950","46.000","1000","6.00万","497.72万","2.21亿","0.000%","0.000%","41.900","41.200","46.000","41.000","1.08","0.33","12.14","621.621","亏损","59.973","0.88","-74.19%","212.31亿","212.31亿","4.62亿","4.62亿","12.20%","35.89%","112.96%","693.10%","1953.57%","软件开发"
"100","01695","椰丰集团","0.096","+0.010","11.63%","0.00%","37.14%","18.52%","0.079","0.096","42.50万","18.00万","5000","480","0.000%","0.000%","0.096","0.086","0.096","0.096","0.00","0.00","0.00","亏损","亏损","0.482","0.07","-14.60%","1.04亿","1.04亿","10.8亿","10.8亿","17.07%","12.94%","15.66%","5.49%","-4.00%","食品添加剂"
"101","08547","PACIFIC LEGEND","0.078","+0.008","11.43%","0.00%","18.18%","27.87%","0.071","0.082","15.00万","25.00万","1286.00万","87.98万","0.000%","0.000%","0.070","0.070","0.078","0.068","1.07","0.00","14.29","亏损","亏损","0.857","2.17","-41.94%","9360.00万","9360.00万","12亿","12亿","6.85%","13.04%","8.33%","47.17%","-25.00%","家具"
"102","00601","稀镁科技","0.099","+0.010","11.24%","0.00%","28.57%","25.32%","0.095","0.099","5.00万","44.00万","760.00万","73.06万","5.050%","5.050%","0.087","0.089","0.100","0.087","0.12","0.00","14.61","8.250","3.093","0.487","1.34","-5.10%","6.52亿","6.52亿","65.84亿","65.84亿","3.13%","0.00%","23.75%","-10.81%","-63.33%","-"
"103","01696","复锐医疗科技","5.450","+0.550","11.22%","-0.73%","131.91%","64.65%","5.410","5.450","2.84万","3200","173.32万","887.72万","2.020%","2.018%","5.050","4.900","5.550","4.700","0.39","0.00","17.35","23.695","14.931","0.955","1.25","-75.41%","24.10亿","24.10亿","4.42亿","4.42亿","-9.92%","2.83%","70.31%","112.06%","41.56%","医疗保健设备"
"104","01028","千百度","0.179","+0.018","11.18%","0.00%","-22.17%","-4.28%","0.162","0.179","3.00万","9.80万","1.40万","2490","0.000%","0.000%","0.163","0.161","0.179","0.163","0.00","0.00","9.94","亏损","亏损","0.256","0.14","38.08%","3.72亿","3.72亿","20.77亿","20.77亿","15.48%","1.13%","-1.65%","-18.64%","2.29%","鞋类"
"105","02100","百奥家庭互动","3.090","+0.310","11.15%","0.00%","228.72%","232.26%","3.080","3.090","8000","36.20万","7693.05万","2.35亿","1.650%","1.650%","2.820","2.780","3.200","2.780","2.83","0.98","15.11","26.869","50.655","4.618","0.97","3.34%","83.96亿","83.96亿","27.17亿","27.17亿","43.06%","45.75%","155.37%","159.66%","241.44%","软件开发"
"106","00689","长盈集团(控股)","0.060","+0.006","11.11%","1.69%","36.36%","7.14%","0.059","0.060","9.00万","202.50万","2104.50万","124.87万","0.000%","0.000%","0.054","0.054","0.062","0.054","0.40","0.00","14.82","亏损","亏损","0.705","12.15","-38.10%","3.14亿","3.14亿","52.4亿","52.4亿","13.21%","7.14%","3.45%","62.16%","-29.41%","气油生产商"
"107","00139","中达集团控股","0.030","+0.003","11.11%","0.00%","50.00%","50.00%","0.029","0.030","1073.80万","1087.80万","1.23亿","347.45万","0.000%","0.000%","0.027","0.027","0.030","0.026","0.77","0.00","14.82","2.727","2.307","0.361","1.93","30.29%","4.79亿","4.79亿","159.7亿","159.7亿","15.38%","36.36%","42.86%","-3.23%","-37.50%","证券及经纪"
"108","08291","万成金属包装","0.400","+0.040","11.11%","2.56%","280.95%","156.41%","0.390","0.400","9.00万","15.00万","86.80万","33.27万","0.000%","0.000%","0.380","0.360","0.400","0.380","0.27","0.00","5.56","亏损","亏损","1.639","0.16","-38.10%","1.28亿","1.28亿","3.2亿","3.2亿","25.00%","-1.23%","150.00%","247.83%","150.00%","印刷及包装"
"109","08620","亚洲速运","0.181","+0.018","11.04%","0.00%","6.47%","-1.09%","0.179","0.181","4.50万","6.00万","185.00万","32.35万","0.000%","0.000%","0.166","0.163","0.184","0.166","0.39","0.00","11.04","亏损","亏损","1.131","11.28","4.68%","8688.00万","8688.00万","4.8亿","4.8亿","11.73%","12.42%","-1.09%","5.85%","0.00%","航空货运及物流"
"110","09992","泡泡玛特","87.200","+8.500","10.80%","0.75%","0.00%","7.19%","87.200","87.300","800","3000","766.78万","6.49亿","0.000%","0.000%","79.700","78.700","87.800","79.500","0.55","-0.11","10.55","216.915","230.687","83.846","4.04","-50.35%","1222.49亿","1222.49亿","14.02亿","14.02亿","9.00%","12.95%","15.19%","0.00%","0.00%","玩具及消闲用品"
"111","01222","宏安集团","0.062","+0.006","10.71%","0.00%","16.98%","6.90%","0.062","0.063","6.00万","156.00万","2781.07万","166.95万","9.680%","9.677%","0.057","0.056","0.063","0.057","0.17","0.00","10.71","亏损","3.647","0.168","7.82","34.54%","10.33亿","10.33亿","166.58亿","166.58亿","8.77%","10.71%","14.81%","-13.89%","-8.82%","地产发展商"
"112","00894","万裕科技","1.580","+0.150","10.49%","-1.25%","285.37%","150.79%","1.580","1.600","9.80万","31.60万","1372.81万","2172.44万","0.000%","0.000%","1.450","1.430","1.670","1.430","2.89","-1.25","16.78","亏损","23.939","0.578","0.70","-52.59%","7.51亿","7.51亿","4.76亿","4.76亿","73.63%","154.84%","150.79%","378.79%","327.03%","工业零件及器材"
"113","03708","中国供应链产业","0.190","+0.018","10.47%","11.76%","-2.56%","-4.52%","0.145","0.190","5.00万","20.00万","519.00万","72.52万","0.000%","0.000%","0.155","0.172","0.192","0.103","0.09","1.04","51.74","亏损","亏损","7.037","16.80","-53.85%","10.63亿","10.63亿","55.94亿","55.94亿","3.26%","2.70%","-3.55%","0.00%","-3.55%","楼宇建造"
"114","00733","合富辉煌","2.550","+0.240","10.39%","0.39%","86.13%","54.55%","2.550","2.570","2.20万","8000","353.66万","883.52万","4.120%","4.901%","2.370","2.310","2.620","2.340","0.53","0.00","12.12","3.811","3.551","0.521","2.24","2.86%","17.19亿","17.19亿","6.74亿","6.74亿","26.24%","41.67%","60.38%","57.89%","57.89%","地产代理"
"115","01868","同方友友","0.540","+0.050","10.20%","0.00%","0.00%","3.85%","0.510","0.540","6.40万","1.00万","57.55万","29.91万","0.000%","0.000%","0.510","0.490","0.550","0.500","0.03","0.00","10.20","亏损","亏损","0.608","15.81","45.88%","11.31亿","11.31亿","20.95亿","20.95亿","9.09%","10.20%","10.20%","-44.33%","-1.82%","家具"
"116","00772","阅文集团","85.000","+7.850","10.17%","0.59%","39.80%","39.69%","84.900","85.000","400","20.84万","569.56万","4.73亿","0.000%","0.000%","78.100","77.150","85.000","77.000","0.56","0.06","10.37","亏损","71.070","4.725","1.37","-81.64%","863.41亿","863.41亿","10.16亿","10.16亿","9.61%","32.19%","57.55%","76.17%","141.82%","出版"
"117","00947","摩比发展","0.650","+0.060","10.17%","1.56%","8.33%","10.17%","0.640","0.650","2.40万","31.10万","448.51万","275.60万","3.080%","3.076%","0.570","0.590","0.650","0.570","0.55","1.56","13.56","19.696","20.312","0.406","2.23","57.52%","5.32亿","5.32亿","8.19亿","8.19亿","10.17%","3.17%","3.17%","-18.75%","-39.25%","电讯设备"
"118","00375","YGM贸易","2.190","+0.200","10.05%","0.00%","-8.75%","8.42%","2.190","2.350","2.20万","6000","1.50万","3.29万","4.570%","4.566%","2.200","1.990","2.200","2.190","0.01","0.00","0.50","亏损","亏损","0.692","5.77","60.00%","3.63亿","3.63亿","1.66亿","1.66亿","5.29%","5.29%","11.17%","-6.41%","-40.16%","服装"
"119","01557","剑虹集团控股","0.550","+0.050","10.00%","0.00%","-5.17%","42.86%","0.500","0.550","1.20万","4000","4000","2200","0.000%","0.000%","0.550","0.500","0.550","0.550","0.00","-10.00","0.00","17.187","183.333","2.340","1.00","75.00%","2.20亿","2.20亿","4亿","4亿","7.84%","19.57%","0.00%","-35.29%","-56.00%","重型基建"
"120","08347","F8企业","0.132","+0.012","10.00%","-0.75%","-48.24%","-41.33%","0.131","0.133","8000","74.40万","1363.20万","181.10万","0.000%","0.000%","0.130","0.120","0.150","0.119","1.55","0.00","25.83","26.400","26.400","1.000","0.48","-65.92%","1.16亿","1.16亿","8.78亿","8.78亿","-48.24%","-32.99%","-38.60%","-56.00%","-39.45%","气油生产商"
"121","08419","AV策划推广","0.330","+0.030","10.00%","10.00%","-16.46%","-15.38%","0.295","0.330","2.00万","1.50万","2.50万","7825","0.000%","0.000%","0.300","0.300","0.330","0.300","0.01","10.00","10.00","亏损","5.409","1.294","0.20","13.64%","1.32亿","1.32亿","4亿","4亿","1.54%","4.76%","-9.59%","-21.43%","-29.79%","消费电子产品"
"122","08255","神州数字","0.200","+0.018","9.89%","0.00%","-1.96%","16.28%","0.197","0.240","6000","6.00万","57.60万","11.38万","0.000%","0.000%","0.188","0.182","0.200","0.181","0.12","0.00","10.44","亏损","亏损","0.431","0.80","-91.30%","9600.00万","9600.00万","4.8亿","4.8亿","0.00%","-18.03%","5.26%","-23.08%","-31.03%","软件开发"
"123","02232","晶苑国际","2.790","+0.250","9.84%","0.00%","18.72%","17.23%","2.730","2.790","3500","2.05万","125.55万","344.02万","4.120%","4.480%","2.550","2.540","2.930","2.550","0.04","-1.82","14.96","8.584","6.739","0.948","1.42","-70.64%","79.59亿","79.59亿","28.53亿","28.53亿","17.23%","17.23%","13.88%","73.29%","-1.93%","服装"
"124","08003","世大控股","0.079","+0.007","9.72%","0.00%","33.90%","16.18%","0.071","0.079","74.40万","10.00万","7.60万","5872","0.000%","0.000%","0.072","0.072","0.080","0.072","0.00","0.00","11.11","亏损","亏损","3.038","0.31","3.34%","2.57亿","2.57亿","32.53亿","32.53亿","-1.25%","6.76%","5.33%","88.10%","113.51%","广告及宣传"
